Loadstar Sensors SensorVUE - Log File
Units for F184625692:,N
Units for Peak (F184625692):,N
Units for Low (F184625692):,N
Logging Interval:,0.01 sec
--------------------------------------------------------------------------------
*** Use custom format 'hh:mm:ss.000' in Microsoft Excel to correctly display the time stamp in milliseconds. ***
------------------------------------------------------------------------------------------------------------------------
Time,Elapsed Time(sec),F184625692,Peak (F184625692),Low (F184625692),
2019-04-03 11:43:41.216,4.900,0.367,0.367,-0.002,,
2019-04-03 11:43:41.230,4.914,0.367,0.367,-0.002,,
2019-04-03 11:43:41.245,4.929,0.367,0.367,-0.002,,
2019-04-03 11:43:41.260,4.944,0.524,0.524,-0.002,,
2019-04-03 11:43:41.275,4.959,0.524,0.524,-0.002,,
2019-04-03 11:43:41.289,4.973,0.524,0.524,-0.002,,
2019-04-03 11:43:41.303,4.987,0.524,0.524,-0.002,,
2019-04-03 11:43:41.319,5.003,0.649,0.649,-0.002,,
2019-04-03 11:43:41.347,5.031,0.649,0.649,-0.002,,
2019-04-03 11:43:41.378,5.062,0.871,0.871,-0.002,,
2019-04-03 11:43:41.393,5.077,0.871,0.871,-0.002,,
2019-04-03 11:43:41.407,5.091,0.871,0.871,-0.002,,
2019-04-03 11:43:41.421,5.105,0.871,0.871,-0.002,,
2019-04-03 11:43:41.436,5.120,1.101,1.101,-0.002,,
2019-04-03 11:43:41.451,5.135,1.101,1.101,-0.002,,
2019-04-03 11:43:41.467,5.151,1.101,1.101,-0.002,,
2019-04-03 11:43:41.481,5.165,1.101,1.101,-0.002,,
2019-04-03 11:43:41.495,5.179,1.219,1.219,-0.002,,
2019-04-03 11:43:41.510,5.194,1.219,1.219,-0.002,,
2019-04-03 11:43:41.526,5.210,1.219,1.219,-0.002,,
2019-04-03 11:43:41.539,5.223,1.219,1.219,-0.002,,
2019-04-03 11:43:41.554,5.238,1.104,1.219,-0.002,,
2019-04-03 11:43:41.569,5.253,1.104,1.219,-0.002,,
2019-04-03 11:43:41.584,5.268,1.104,1.219,-0.002,,
2019-04-03 11:43:41.613,5.297,1.112,1.219,-0.002,,
2019-04-03 11:43:41.628,5.312,1.112,1.219,-0.002,,
2019-04-03 11:43:41.643,5.327,1.112,1.219,-0.002,,
2019-04-03 11:43:41.658,5.342,1.112,1.219,-0.002,,
2019-04-03 11:43:41.672,5.356,1.013,1.219,-0.002,,
2019-04-03 11:43:41.687,5.371,1.013,1.219,-0.002,,
2019-04-03 11:43:41.702,5.386,1.013,1.219,-0.002,,
2019-04-03 11:43:41.717,5.401,1.013,1.219,-0.002,,
2019-04-03 11:43:41.732,5.416,1.236,1.236,-0.002,,
2019-04-03 11:43:41.746,5.430,1.236,1.236,-0.002,,
2019-04-03 11:43:41.761,5.445,1.236,1.236,-0.002,,
2019-04-03 11:43:41.776,5.460,1.236,1.236,-0.002,,
